Doc Name,Bill NO.,Doc URL
"
                                    AN ACT FOR THE UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT RICH MOUNTAIN APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",HB1296,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=121.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE EAST ARKANSAS COMMUNITY COLLEGE APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",HB1297,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=122.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE NATIONAL PARK COLLEGE APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",HB1309,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=123.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE NORTH ARKANSAS COLLEGE APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",HB1311,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=124.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO CLARIFY THAT CERTAIN APPEARANCE FEES ARE NOT COMPENSATION FOR THE PURPOSE OF DETERMINING ELIGIBILITY FOR THE SALES AND USE TAX EXEMPTION FOR FIRE PROTECTION EQUIPMENT AND EMERGENCY EQUIPMENT.
                                ",HB1026,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=125.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND PROVISIONS OF THE ARKANSAS CODE CONCERNING ARKANSAS PUBLIC SCHOOL ACADEMIC FACILITIES AND TRANSPORTATION.
                                ",HB1103,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=126.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE ARKANSAS EMERGENCY SERVICES ACT OF 1973 CONCERNING THE POWERS AND DUTIES OF THE DIVISION OF EMERGENCY MANAGEMENT.
                                ",HB1153,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=127.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND ELECTION LAWS; TO AMEND PUBLICATION REQUIREMENTS FOR ELECTIONS; AND TO REQUIRE PUBLICATION OF SAMPLE BALLOTS ON AN INTERNET SITE.
                                ",HB1202,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=128.pdf&ddBienniumSession=2021%2F2021R
"
                                    CONCERNING THE POSITIONS AND SALARIES OF SUPREME COURT LAW CLERKS AND COURT OF APPEALS LAW CLERKS.
                                ",HB1222,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=129.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AUTHORIZE THE VETERINARY MEDICAL EXAMINING BOARD TO PROMULGATE RULES REGARDING TELEHEALTH AND TELEMEDICINE AND TO ISSUE RESTRICTED LICENSES FOR VETERINARIANS.
                                ",HB1099,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=130.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO RECOGNIZE ARTIFICIAL INSEMINATION OF LIVESTOCK AND ANIMALS AS A ROUTINE ANIMAL HUSBANDRY PRACTICE.
                                ",HB1142,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=131.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE TIMELINE FOR EMBALMING A DEAD BODY IN THE STATE.
                                ",HB1322,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=132.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO ALLOW THE TUITION-FREE BENEFIT FOR SOLDIERS AND AIRMEN OF THE ARKANSAS NATIONAL GUARD TO APPLY TO PROGRAMS OF STUDY IN WHICH THE COURSES ARE TAKEN EXCLUSIVELY ONLINE.
                                ",SB66,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=133.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND PROVISIONS OF THE ARKANSAS CODE CONCERNING EDUCATION RENEWAL ZONES.
                                ",SB77,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=134.pdf&ddBienniumSession=2021%2F2021R
