Doc Name,Bill NO.,Doc URL
"
                                    TO AMEND THE LAW CONCERNING THE DISTRIBUTION OF EXCESS FOOD IN PUBLIC SCHOOLS.
                                ",HB1009,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=141.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE SALES AND USE TAX EXEMPTION FOR SALES OF CERTAIN AIRCRAFT.
                                ",HB1010,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=142.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO REQUIRE THE ELECTRONIC FILING OF INCOME TAX RETURNS BY TAX PRACTITIONERS; AND TO AMEND THE LAW CONCERNING TAX PRACTITIONERS.
                                ",HB1031,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=143.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO REMOVE EXTRANEOUS REFERENCES TO DIGITAL MAGAZINES IN THE SALES TAX LAWS; AND TO CLARIFY THE EXEMPTION OF A CAR WASH OPERATOR'S SALE OF A CAR WASH.
                                ",HB1033,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=144.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AUTHORIZE THE SECRETARY OF THE DEPARTMENT OF FINANCE AND ADMINISTRATION TO WAIVE THE CERTIFICATE OF INDEBTEDNESS FILING FEES IN CERTAIN CIRCUMSTANCES.
                                ",HB1041,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=145.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO REPEAL THE LONG-TERM RENTAL VEHICLE TAX.
                                ",HB1042,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=146.pdf&ddBienniumSession=2021%2F2021R
"
                                    CONCERNING THE DRAWING OF A PERSON'S BLOOD WHEN A PERSON WAS OPERATING OR IN ACTUAL PHYSICAL CONTROL OF A MOTORBOAT OR MOTOR VEHICLE WHILE INTOXICATED.
                                ",HB1184,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=147.pdf&ddBienniumSession=2021%2F2021R
"
                                    CONCERNING THE RESPECTIVE DUTIES OF THE PAROLE BOARD, THE DEPARTMENT OF CORRECTIONS, AND THE SECRETARY OF THE DEPARTMENT OF CORRECTIONS; AND CONCERNING THE VOTE REQUIREMENTS FOR THE PAROLE BOARD TO ACT.
                                ",SB227,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=148.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE DEFINITION OF ""AVERAGE COMPENSATION"" AS THE TERM APPLIES TO THE ARKANSAS STATE HIGHWAY EMPLOYEES' RETIREMENT SYSTEM; AND TO DECLARE AN EMERGENCY.
                                ",SB104,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=149.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE LAW CONCERNING ELIGIBILITY TO RECEIVE INCREASED BENEFITS, THE HEALTHCARE OFFSET, AND DEFERRED OPTION ACCOUNTS UNDER THE ARKANSAS STATE HIGHWAY EMPLOYEES' RETIREMENT SYSTEM; AND TO DECLARE AN EMERGENCY.
                                ",SB106,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=150.pdf&ddBienniumSession=2021%2F2021R
"
                                    CONCERNING RECORDS AND PHOTOGRAPHS KEPT BY THE STATE CRIME LABORATORY; AND TO DECLARE AN EMERGENCY.
                                ",SB172,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=151.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO MAKE TECHNICAL AMENDMENTS TO STATUTES GOVERNING THE ADMINISTRATION OF THE DIVISION OF CORRECTION AND THE DIVISION OF COMMUNITY CORRECTION.
                                ",SB228,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=152.pdf&ddBienniumSession=2021%2F2021R
